
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1587673444
DEBUG: Central density computed: - e_center=8.426376e-07
DEBUG: Central pressure computed: - p_center=4.298560e-10
1.000 	0.0 	1.3525713018 	0.0986806994 	2579.22472 	0.00000e+00 	3.23345e+00 	0.00000 	0.00000
0.995 	0.0 	1.3544530631 	0.0988179925 	2588.73335 	3.08771e-01 	3.21852e+00 	22286.33306 	0.42681
0.990 	0.0 	1.3563483585 	0.0989562754 	2598.36508 	4.35621e-01 	3.20354e+00 	22396.55757 	0.60344
0.985 	0.0 	1.3582406424 	0.0990943384 	2608.12336 	5.32255e-01 	3.18844e+00 	22507.26914 	0.73888
0.980 	0.0 	1.3601202067 	0.0992314727 	2617.99043 	6.12936e-01 	3.17327e+00 	22618.21563 	0.85272
0.975 	0.0 	1.3619965082 	0.0993683683 	2628.01667 	6.83666e-01 	3.15794e+00 	22729.63699 	0.95317
0.970 	0.0 	1.3638854921 	0.0995061895 	2638.18905 	7.47228e-01 	3.14249e+00 	22841.76488 	1.04403
0.965 	0.0 	1.3657714726 	0.0996437913 	2648.49890 	8.05199e-01 	3.12693e+00 	22954.22085 	1.12745
0.960 	0.0 	1.3676615661 	0.0997816932 	2658.94828 	8.58719e-01 	3.11126e+00 	23067.59901 	1.20499
0.955 	0.0 	1.3695444566 	0.0999190695 	2669.53834 	9.08534e-01 	3.09548e+00 	23181.24767 	1.27765
0.950 	0.0 	1.3714234570 	0.1000561619 	2680.26597 	9.55197e-01 	3.07960e+00 	23295.51858 	1.34620
0.945 	0.0 	1.3732931768 	0.1001925769 	2691.14442 	9.99171e-01 	3.06360e+00 	23410.14583 	1.41125
0.940 	0.0 	1.3751597205 	0.1003287601 	2702.18135 	1.04082e+00 	3.04748e+00 	23525.14256 	1.47329
0.935 	0.0 	1.3770212306 	0.1004645758 	2713.37687 	1.08040e+00 	3.03124e+00 	23640.47756 	1.53266
0.930 	0.0 	1.3788755988 	0.1005998703 	2724.72844 	1.11809e+00 	3.01488e+00 	23756.07194 	1.58960
0.925 	0.0 	1.3807248914 	0.1007347943 	2736.23766 	1.15407e+00 	2.99841e+00 	23872.31760 	1.64436
0.920 	0.0 	1.3825608415 	0.1008687445 	2747.90257 	1.18846e+00 	2.98183e+00 	23988.44332 	1.69709
0.915 	0.0 	1.3843850716 	0.1010018391 	2759.74198 	1.22144e+00 	2.96512e+00 	24104.97299 	1.74804
0.910 	0.0 	1.3862036347 	0.1011345199 	2771.76716 	1.25314e+00 	2.94827e+00 	24221.26796 	1.79734
0.905 	0.0 	1.3880153832 	0.1012667033 	2783.97091 	1.28363e+00 	2.93130e+00 	24337.88688 	1.84510
