
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1713394972
DEBUG: Central density computed: - e_center=1.234113e-09
DEBUG: Central pressure computed: - p_center=4.067893e-14
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.4250804096 	0.0309869915 	10602.76510 	0.00000e+00 	2.17483e-01 	0.00000 	0.00000
0.995 	0.0 	0.4195308727 	0.0305824137 	10666.54421 	2.02198e-02 	2.14184e-01 	169747.63453 	2.21891
0.990 	0.0 	0.4209271597 	0.0306842014 	10701.01339 	2.85548e-02 	2.13565e-01 	171176.58902 	3.13904
0.985 	0.0 	0.4223275787 	0.0307862903 	10735.94826 	3.49211e-02 	2.12938e-01 	172623.36800 	3.84570
0.980 	0.0 	0.4237310648 	0.0308886028 	10771.34737 	4.02634e-02 	2.12303e-01 	174087.27993 	4.44206
0.975 	0.0 	0.4251372168 	0.0309911097 	10807.21675 	4.49471e-02 	2.11660e-01 	175568.28247 	4.96795
0.970 	0.0 	0.4265456165 	0.0310937804 	10843.56240 	4.91598e-02 	2.11008e-01 	177066.31393 	5.44380
0.965 	0.0 	0.4275389760 	0.0311661945 	10876.24892 	5.23238e-02 	2.10395e-01 	178403.67503 	5.81084
0.960 	0.0 	0.4284921315 	0.0312356775 	10912.23472 	5.54521e-02 	2.09703e-01 	179771.92763 	6.17791
0.955 	0.0 	0.4296248115 	0.0313182478 	10950.50200 	5.86664e-02 	2.08980e-01 	181181.02277 	6.55256
0.950 	0.0 	0.4308268140 	0.0314058718 	10989.65204 	6.17849e-02 	2.08246e-01 	182596.45180 	6.91602
0.945 	0.0 	0.4320539392 	0.0314953271 	11029.73843 	6.47755e-02 	2.07494e-01 	184005.42286 	7.26528
0.940 	0.0 	0.4333296178 	0.0315883221 	11070.28931 	6.76472e-02 	2.06740e-01 	185437.58729 	7.60148
0.935 	0.0 	0.4345383457 	0.0316764364 	11109.46519 	7.02468e-02 	2.06012e-01 	186839.17482 	7.90908
0.930 	0.0 	0.4350773221 	0.0317157255 	11142.89429 	7.19920e-02 	2.05342e-01 	188019.22078 	8.13657
0.925 	0.0 	0.4358694312 	0.0317734677 	11183.30000 	7.41639e-02 	2.04541e-01 	189271.82819 	8.40723
0.920 	0.0 	0.4369092452 	0.0318492678 	11225.49894 	7.64443e-02 	2.03735e-01 	190671.48746 	8.68832
0.915 	0.0 	0.4380351933 	0.0319313470 	11269.13657 	7.87519e-02 	2.02903e-01 	192050.43806 	8.96903
0.910 	0.0 	0.4389746234 	0.0319998288 	11314.42674 	8.09393e-02 	2.02005e-01 	193261.64832 	9.23663
