
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1394937564
DEBUG: Central density computed: - e_center=3.859098e-07
DEBUG: Central pressure computed: - p_center=1.501358e-10
1.000 	0.0 	1.3057302214 	0.0952430236 	3139.23116 	0.00000e+00 	2.36598e+00 	0.00000 	0.00000
0.995 	0.0 	1.3077069581 	0.0953872160 	3150.59218 	2.24377e-01 	2.35553e+00 	34243.35204 	0.51124
0.990 	0.0 	1.3097143586 	0.0955336475 	3162.11810 	3.16584e-01 	2.34501e+00 	34423.52689 	0.72290
0.985 	0.0 	1.3117098709 	0.0956792111 	3173.77949 	3.86860e-01 	2.33443e+00 	34604.08231 	0.88531
0.980 	0.0 	1.3136617634 	0.0958215917 	3185.54094 	4.45338e-01 	2.32380e+00 	34783.99733 	1.02139
0.975 	0.0 	1.3156447378 	0.0959662400 	3197.54254 	4.96946e-01 	2.31301e+00 	34965.29279 	1.14224
0.970 	0.0 	1.3176456028 	0.0961121938 	3209.70772 	5.43305e-01 	2.30216e+00 	35148.24073 	1.25152
0.965 	0.0 	1.3196529285 	0.0962586190 	3222.03532 	5.85618e-01 	2.29122e+00 	35332.77331 	1.35195
0.960 	0.0 	1.3216532423 	0.0964045323 	3234.52330 	6.24663e-01 	2.28020e+00 	35517.65959 	1.44525
0.955 	0.0 	1.3236587661 	0.0965508258 	3247.17439 	6.61024e-01 	2.26911e+00 	35704.58044 	1.53277
0.950 	0.0 	1.3256481959 	0.0966959447 	3259.97578 	6.95046e-01 	2.25795e+00 	35891.91294 	1.61525
0.945 	0.0 	1.3276425641 	0.0968414239 	3272.98168 	7.27209e-01 	2.24668e+00 	36080.35718 	1.69377
0.940 	0.0 	1.3296325317 	0.0969865819 	3286.17495 	7.57680e-01 	2.23532e+00 	36269.49393 	1.76869
0.935 	0.0 	1.3316188642 	0.0971314744 	3299.55234 	7.86642e-01 	2.22387e+00 	36459.29420 	1.84040
0.930 	0.0 	1.3336062748 	0.0972764456 	3313.10947 	8.14230e-01 	2.21234e+00 	36650.88971 	1.90925
0.925 	0.0 	1.3355828828 	0.0974206284 	3326.85868 	8.40588e-01 	2.20072e+00 	36842.45859 	1.97550
0.920 	0.0 	1.3375344201 	0.0975629818 	3340.76843 	8.65745e-01 	2.18904e+00 	37033.33429 	2.03920
0.915 	0.0 	1.3394981536 	0.0977062250 	3354.92812 	8.89972e-01 	2.17723e+00 	37226.59460 	2.10103
0.910 	0.0 	1.3414459735 	0.0978483069 	3369.29217 	9.13237e-01 	2.16532e+00 	37419.28405 	2.16083
0.905 	0.0 	1.3434003065 	0.0979908642 	3383.87900 	9.35646e-01 	2.15332e+00 	37613.55827 	2.21887
