
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 796978308
DEBUG: Central density computed: - e_center=2.739667e-08
DEBUG: Central pressure computed: - p_center=3.970387e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.9927928263 	0.0723854399 	5756.04711 	0.00000e+00 	8.30926e-01 	0.00000 	0.00000
0.995 	0.0 	0.9948882964 	0.0725382295 	5775.77004 	7.69849e-02 	8.27830e-01 	109197.16360 	0.96640
0.990 	0.0 	0.9969777471 	0.0726905802 	5795.65816 	1.08635e-01 	8.24723e-01 	109902.66886 	1.36676
0.985 	0.0 	0.9990637170 	0.0728426770 	5815.78620 	1.32775e-01 	8.21588e-01 	110612.65877 	1.67425
0.980 	0.0 	1.0011461473 	0.0729945155 	5836.15890 	1.53000e-01 	8.18426e-01 	111327.10434 	1.93368
0.975 	0.0 	1.0031724118 	0.0731422582 	5856.50819 	1.70438e-01 	8.15276e-01 	112036.46741 	2.15904
0.970 	0.0 	1.0051520285 	0.0732865986 	5877.24675 	1.86158e-01 	8.12065e-01 	112748.51127 	2.36382
0.965 	0.0 	1.0071846592 	0.0734348048 	5898.45736 	2.00724e-01 	8.08797e-01 	113469.00498 	2.55473
0.960 	0.0 	1.0092322876 	0.0735841047 	5919.93270 	2.14209e-01 	8.05503e-01 	114192.91959 	2.73264
0.955 	0.0 	1.0112940978 	0.0737344386 	5941.70804 	2.26816e-01 	8.02181e-01 	114923.04530 	2.90010
0.950 	0.0 	1.0133666725 	0.0738855573 	5963.77369 	2.38669e-01 	7.98828e-01 	115660.26495 	3.05868
0.945 	0.0 	1.0153946164 	0.0740334214 	5985.88356 	2.49726e-01 	7.95473e-01 	116389.32319 	3.20770
0.940 	0.0 	1.0173408394 	0.0741753258 	6008.07360 	2.60050e-01 	7.92114e-01 	117120.47799 	3.34845
0.935 	0.0 	1.0193543514 	0.0743221369 	6030.92182 	2.70088e-01 	7.88675e-01 	117864.70199 	3.48599
0.930 	0.0 	1.0213710522 	0.0744691802 	6054.23648 	2.79736e-01 	7.85182e-01 	118612.69363 	3.61909
0.925 	0.0 	1.0234410015 	0.0746201067 	6077.93889 	2.89040e-01 	7.81650e-01 	119370.80567 	3.74816
0.920 	0.0 	1.0255290361 	0.0747723520 	6101.90864 	2.97953e-01 	7.78099e-01 	120141.11452 	3.87285
0.915 	0.0 	1.0275814309 	0.0749219983 	6126.09466 	3.06470e-01 	7.74527e-01 	120900.44564 	3.99273
0.910 	0.0 	1.0296190009 	0.0750705635 	6150.57791 	3.14643e-01 	7.70926e-01 	121666.77365 	4.10888
