
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1931832516
DEBUG: Central density computed: - e_center=1.382911e-08
DEBUG: Central pressure computed: - p_center=1.503353e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.8736594238 	0.0636952795 	6638.38764 	0.00000e+00 	6.29357e-01 	0.00000 	0.00000
0.995 	0.0 	0.8756104460 	0.0638375265 	6660.84024 	5.79036e-02 	6.27111e-01 	133792.29073 	1.14975
0.990 	0.0 	0.8775555064 	0.0639793389 	6683.46940 	8.17097e-02 	6.24858e-01 	134686.78238 	1.62606
0.985 	0.0 	0.8793019846 	0.0641066715 	6705.59751 	9.90771e-02 	6.22641e-01 	135550.17516 	1.97644
0.980 	0.0 	0.8810711990 	0.0642356611 	6728.78384 	1.14190e-01 	6.20318e-01 	136418.62936 	2.28333
0.975 	0.0 	0.8829049931 	0.0643693596 	6752.45333 	1.27629e-01 	6.17963e-01 	137285.76243 	2.55761
0.970 	0.0 	0.8848067980 	0.0645080172 	6776.40914 	1.39770e-01 	6.15589e-01 	138173.75662 	2.80691
0.965 	0.0 	0.8867346941 	0.0646485774 	6800.59481 	1.50846e-01 	6.13210e-01 	139076.96240 	3.03592
0.960 	0.0 	0.8886489717 	0.0647881443 	6825.10926 	1.61090e-01 	6.10807e-01 	139975.56489 	3.24898
0.955 	0.0 	0.8904449594 	0.0649190865 	6848.86704 	1.70176e-01 	6.08483e-01 	140865.41443 	3.44013
0.950 	0.0 	0.8921824755 	0.0650457644 	6873.50916 	1.78858e-01 	6.06058e-01 	141760.91992 	3.62447
0.945 	0.0 	0.8940522516 	0.0651820861 	6898.93361 	1.87312e-01 	6.03582e-01 	142686.45020 	3.80462
0.940 	0.0 	0.8959178908 	0.0653181060 	6924.85106 	1.95374e-01 	6.01059e-01 	143612.29118 	3.97750
0.935 	0.0 	0.8978201598 	0.0654567968 	6951.07739 	2.03075e-01 	5.98520e-01 	144543.59133 	4.14347
0.930 	0.0 	0.8997560744 	0.0655979409 	6977.63378 	2.10450e-01 	5.95970e-01 	145485.69109 	4.30336
0.925 	0.0 	0.9016289485 	0.0657344882 	7004.41927 	2.17437e-01 	5.93403e-01 	146415.03448 	4.45606
0.920 	0.0 	0.9034780142 	0.0658692995 	7031.38961 	2.24091e-01 	5.90826e-01 	147349.53127 	4.60283
0.915 	0.0 	0.9054710292 	0.0660146072 	7058.95459 	2.30600e-01 	5.88223e-01 	148349.39204 	4.74769
0.910 	0.0 	0.9073756486 	0.0661534690 	7087.08745 	2.36884e-01 	5.85556e-01 	149303.46917 	4.88787
