
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 647046580
DEBUG: Central density computed: - e_center=1.080071e-08
DEBUG: Central pressure computed: - p_center=1.053111e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.8280702938 	0.0603703689 	6980.55029 	0.00000e+00 	5.68223e-01 	0.00000 	0.00000
0.995 	0.0 	0.8299590041 	0.0605080699 	7004.08563 	5.21529e-02 	5.66224e-01 	142315.92852 	1.22604
0.990 	0.0 	0.8314798077 	0.0606189451 	7026.72974 	7.22068e-02 	5.64272e-01 	143204.14045 	1.70184
0.985 	0.0 	0.8331080011 	0.0607376496 	7050.99920 	8.86798e-02 	5.62180e-01 	144077.73103 	2.09462
0.980 	0.0 	0.8348822459 	0.0608670036 	7075.60401 	1.02690e-01 	5.60079e-01 	144977.28450 	2.43034
0.975 	0.0 	0.8367223214 	0.0610011578 	7100.42125 	1.14946e-01 	5.57988e-01 	145909.72352 	2.72585
0.970 	0.0 	0.8385530010 	0.0611346267 	7125.60220 	1.25978e-01 	5.55861e-01 	146833.44232 	2.99327
0.965 	0.0 	0.8404359196 	0.0612719048 	7150.93374 	1.36000e-01 	5.53738e-01 	147804.17784 	3.23821
0.960 	0.0 	0.8421189818 	0.0613946107 	7175.33575 	1.44733e-01 	5.51684e-01 	148716.33701 	3.45355
0.955 	0.0 	0.8437732782 	0.0615152187 	7200.61833 	1.52997e-01 	5.49560e-01 	149669.24807 	3.65976
0.950 	0.0 	0.8454821828 	0.0616398079 	7226.86225 	1.61014e-01 	5.47368e-01 	150621.16825 	3.86037
0.945 	0.0 	0.8473105144 	0.0617731053 	7253.67110 	1.68733e-01 	5.45143e-01 	151607.56638 	4.05438
0.940 	0.0 	0.8490902839 	0.0619028614 	7280.88180 	1.76084e-01 	5.42865e-01 	152556.12562 	4.23964
0.935 	0.0 	0.8509276287 	0.0620368158 	7308.43788 	1.83113e-01 	5.40559e-01 	153531.05847 	4.41792
0.930 	0.0 	0.8527281958 	0.0621680882 	7336.13806 	1.89891e-01 	5.38127e-01 	154451.03955 	4.58945
0.925 	0.0 	0.8545364264 	0.0622999200 	7363.82588 	1.96079e-01 	5.35874e-01 	155482.06273 	4.75049
0.920 	0.0 	0.8563988548 	0.0624357035 	7392.30452 	2.02137e-01 	5.33567e-01 	156529.76416 	4.90883
0.915 	0.0 	0.8582904581 	0.0625736141 	7421.27728 	2.08002e-01 	5.31231e-01 	157585.50455 	5.06294
0.910 	0.0 	0.8601841377 	0.0627116761 	7450.65666 	2.13655e-01 	5.28872e-01 	158643.88970 	5.21244
