
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 919744852
DEBUG: Central density computed: - e_center=1.423494e-08
DEBUG: Central pressure computed: - p_center=1.567019e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.8789232804 	0.0640792011 	6599.16591 	0.00000e+00 	6.36886e-01 	0.00000 	0.00000
0.995 	0.0 	0.8808817584 	0.0642219921 	6621.49738 	5.86132e-02 	6.34610e-01 	132773.90787 	1.14120
0.990 	0.0 	0.8828342646 	0.0643643477 	6644.00484 	8.27110e-02 	6.32325e-01 	133660.41590 	1.61397
0.985 	0.0 	0.8846267399 	0.0644950345 	6666.09949 	1.00411e-01 	6.30074e-01 	134522.60892 	1.96401
0.980 	0.0 	0.8863799863 	0.0646228601 	6689.07956 	1.15613e-01 	6.27725e-01 	135381.35559 	2.26680
0.975 	0.0 	0.8882462754 	0.0647589284 	6712.56550 	1.29208e-01 	6.25349e-01 	136252.83259 	2.53896
0.970 	0.0 	0.8901546911 	0.0648980685 	6736.39416 	1.41488e-01 	6.22946e-01 	137136.31421 	2.78631
0.965 	0.0 	0.8920765269 	0.0650381870 	6760.47094 	1.52697e-01 	6.20527e-01 	138026.64060 	3.01354
0.960 	0.0 	0.8939970656 	0.0651782108 	6784.83933 	1.63056e-01 	6.18092e-01 	138918.63089 	3.22487
0.955 	0.0 	0.8959089206 	0.0653176018 	6809.06815 	1.72548e-01 	6.15683e-01 	139824.40964 	3.42021
0.950 	0.0 	0.8976066998 	0.0654413826 	6833.17912 	1.81165e-01 	6.13267e-01 	140693.13360 	3.59968
0.945 	0.0 	0.8994088481 	0.0655727733 	6858.29979 	1.89600e-01 	6.10765e-01 	141598.47974 	3.77633
0.940 	0.0 	0.9012815702 	0.0657093099 	6884.08209 	1.97761e-01 	6.08208e-01 	142516.44024 	3.94795
0.935 	0.0 	0.9032220734 	0.0658507890 	6910.17688 	2.05578e-01 	6.05639e-01 	143448.74753 	4.11311
0.930 	0.0 	0.9051342364 	0.0659902014 	6936.58766 	2.13018e-01 	6.03049e-01 	144373.88084 	4.27136
0.925 	0.0 	0.9070849186 	0.0661324228 	6963.14665 	2.20098e-01 	6.00468e-01 	145328.05952 	4.42341
0.920 	0.0 	0.9089373328 	0.0662674786 	6989.93476 	2.26819e-01 	5.97860e-01 	146255.76027 	4.56891
0.915 	0.0 	0.9108691173 	0.0664083216 	7017.47291 	2.33407e-01 	5.95197e-01 	147211.89544 	4.71230
0.910 	0.0 	0.9127961758 	0.0665488199 	7045.46647 	2.39778e-01 	5.92495e-01 	148160.25770 	4.85156
