
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -99014220
DEBUG: Central density computed: - e_center=1.173973e-09
DEBUG: Central pressure computed: - p_center=3.763747e-14
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.4104159602 	0.0299179208 	10730.38755 	0.00000e+00 	2.09898e-01 	0.00000 	0.00000
0.995 	0.0 	0.4117848844 	0.0300177135 	10764.81094 	1.97587e-02 	2.09299e-01 	169877.98255 	2.25238
0.990 	0.0 	0.4131582665 	0.0301178313 	10799.59293 	2.79006e-02 	2.08695e-01 	171309.89108 	3.18603
0.985 	0.0 	0.4145349951 	0.0302181930 	10834.83647 	3.41210e-02 	2.08083e-01 	172758.95540 	3.90326
0.980 	0.0 	0.4159147381 	0.0303187745 	10870.54826 	3.93410e-02 	2.07464e-01 	174225.18970 	4.50853
0.975 	0.0 	0.4172970980 	0.0304195467 	10906.73433 	4.39175e-02 	2.06836e-01 	175708.54944 	5.04228
0.970 	0.0 	0.4182582547 	0.0304896133 	10939.18995 	4.72793e-02 	2.06245e-01 	177028.96758 	5.44394
0.965 	0.0 	0.4191788030 	0.0305567191 	10975.00512 	5.05749e-02 	2.05576e-01 	178379.56650 	5.84210
0.960 	0.0 	0.4201977008 	0.0306309945 	11013.40709 	5.38946e-02 	2.04859e-01 	179722.00941 	6.24204
0.955 	0.0 	0.4213815879 	0.0307172977 	11052.60169 	5.71653e-02 	2.04146e-01 	181113.34188 	6.63467
0.950 	0.0 	0.4225849595 	0.0308050212 	11092.62715 	6.02816e-02 	2.03417e-01 	182493.07548 	7.00956
0.945 	0.0 	0.4238004642 	0.0308936293 	11133.35631 	6.32529e-02 	2.02674e-01 	183857.30110 	7.36759
0.940 	0.0 	0.4249220944 	0.0309753939 	11173.14399 	6.59362e-02 	2.01940e-01 	185145.38606 	7.69318
0.935 	0.0 	0.4255371656 	0.0310202304 	11206.92903 	6.78237e-02 	2.01290e-01 	186325.79051 	7.94085
0.930 	0.0 	0.4262165019 	0.0310697514 	11246.23871 	6.99265e-02 	2.00525e-01 	187551.41537 	8.21465
0.925 	0.0 	0.4271545045 	0.0311381291 	11288.93805 	7.22764e-02 	1.99709e-01 	188804.53331 	8.50994
0.920 	0.0 	0.4281141455 	0.0312080844 	11332.44560 	7.45321e-02 	1.98887e-01 	190117.87541 	8.79700
0.915 	0.0 	0.4292374080 	0.0312899677 	11376.91285 	7.68427e-02 	1.98058e-01 	191440.92486 	9.08510
0.910 	0.0 	0.4302582882 	0.0313643872 	11422.91071 	7.90788e-02 	1.97174e-01 	192628.93927 	9.36290
