
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -428829596
DEBUG: Central density computed: - e_center=6.167180e-06
DEBUG: Central pressure computed: - p_center=6.182101e-09
1.000 	0.0 	1.4112370836 	0.1030491796 	1508.30693 	0.00000e+00 	7.38558e+00 	0.00000 	0.00000
0.995 	0.0 	1.4128167682 	0.1031645271 	1514.08134 	7.14360e-01 	7.34844e+00 	6706.92513 	0.27312
0.990 	0.0 	1.4144062714 	0.1032805969 	1519.93644 	1.00760e+00 	7.31114e+00 	6735.28433 	0.38599
0.985 	0.0 	1.4159902285 	0.1033962614 	1525.86934 	1.23074e+00 	7.27362e+00 	6763.71101 	0.47241
0.980 	0.0 	1.4175685149 	0.1035115114 	1531.88167 	1.41728e+00 	7.23586e+00 	6792.20176 	0.54509
0.975 	0.0 	1.4191396460 	0.1036262387 	1537.97291 	1.58015e+00 	7.19788e+00 	6820.74222 	0.60893
0.970 	0.0 	1.4207058323 	0.1037406047 	1544.15119 	1.72619e+00 	7.15964e+00 	6849.34832 	0.66652
0.965 	0.0 	1.4222687218 	0.1038547298 	1550.41534 	1.85930e+00 	7.12115e+00 	6878.02033 	0.71935
0.960 	0.0 	1.4238260056 	0.1039684452 	1556.76433 	1.98202e+00 	7.08243e+00 	6906.75230 	0.76834
0.955 	0.0 	1.4253755455 	0.1040815946 	1563.20039 	2.09615e+00 	7.04347e+00 	6935.51835 	0.81420
0.950 	0.0 	1.4269180517 	0.1041942299 	1569.72489 	2.20300e+00 	7.00428e+00 	6964.34205 	0.85740
0.945 	0.0 	1.4284511376 	0.1043061767 	1576.33917 	2.30356e+00 	6.96484e+00 	6993.17468 	0.89832
0.940 	0.0 	1.4299752863 	0.1044174703 	1583.04661 	2.39863e+00 	6.92517e+00 	7022.03106 	0.93725
0.935 	0.0 	1.4314905477 	0.1045281144 	1589.84889 	2.48881e+00 	6.88525e+00 	7050.89120 	0.97442
0.930 	0.0 	1.4329959900 	0.1046380410 	1596.74716 	2.57461e+00 	6.84508e+00 	7079.75314 	1.01001
0.925 	0.0 	1.4344906119 	0.1047471771 	1603.74299 	2.65641e+00 	6.80468e+00 	7108.58442 	1.04417
0.920 	0.0 	1.4359746102 	0.1048555371 	1610.83820 	2.73457e+00 	6.76404e+00 	7137.41193 	1.07702
0.915 	0.0 	1.4374570642 	0.1049637855 	1618.04345 	2.80935e+00 	6.72313e+00 	7166.28666 	1.10866
0.910 	0.0 	1.4389163459 	0.1050703398 	1625.34594 	2.88107e+00 	6.68199e+00 	7195.00836 	1.13920
0.905 	0.0 	1.4403650673 	0.1051761229 	1632.75561 	2.94991e+00 	6.64061e+00 	7223.68773 	1.16872
