
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 592992836
DEBUG: Central density computed: - e_center=1.364849e-08
DEBUG: Central pressure computed: - p_center=1.475258e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.8712614412 	0.0635203829 	6656.27200 	0.00000e+00 	6.25961e-01 	0.00000 	0.00000
0.995 	0.0 	0.8732090332 	0.0636623796 	6678.77988 	5.75837e-02 	6.23730e-01 	134253.94106 	1.15366
0.990 	0.0 	0.8751506776 	0.0638039428 	6701.46456 	8.12583e-02 	6.21490e-01 	135152.05745 	1.63159
0.985 	0.0 	0.8768752732 	0.0639296796 	6723.61414 	9.84774e-02 	6.19288e-01 	136015.69780 	1.98215
0.980 	0.0 	0.8786290963 	0.0640575468 	6746.89298 	1.13522e-01 	6.16973e-01 	136881.46207 	2.29034
0.975 	0.0 	0.8804901608 	0.0641932336 	6770.61607 	1.26922e-01 	6.14638e-01 	137761.47989 	2.56627
0.970 	0.0 	0.8823886776 	0.0643316514 	6794.63095 	1.38996e-01 	6.12279e-01 	138653.09285 	2.81643
0.965 	0.0 	0.8842997468 	0.0644709844 	6818.89366 	1.50013e-01 	6.09909e-01 	139552.00341 	3.04616
0.960 	0.0 	0.8862241890 	0.0646112925 	6843.45010 	1.60200e-01 	6.07526e-01 	140462.23529 	3.26003
0.955 	0.0 	0.8880036553 	0.0647410298 	6867.28996 	1.69243e-01 	6.05210e-01 	141346.53764 	3.45186
0.950 	0.0 	0.8897503362 	0.0648683759 	6891.96111 	1.77869e-01 	6.02806e-01 	142254.54489 	3.63678
0.945 	0.0 	0.8916174286 	0.0650045019 	6917.44987 	1.86277e-01 	6.00345e-01 	143184.05217 	3.81755
0.940 	0.0 	0.8934798361 	0.0651402859 	6943.43053 	1.94295e-01 	5.97837e-01 	144113.70483 	3.99103
0.935 	0.0 	0.8953788804 	0.0652787414 	6969.72066 	2.01954e-01 	5.95315e-01 	145048.84657 	4.15758
0.930 	0.0 	0.8973118998 	0.0654196743 	6996.34304 	2.09289e-01 	5.92780e-01 	145994.94461 	4.31802
0.925 	0.0 	0.8991696116 	0.0655551158 	7023.21829 	2.16246e-01 	5.90223e-01 	146916.65889 	4.47120
0.920 	0.0 	0.9010273681 	0.0656905607 	7050.22745 	2.22856e-01 	5.87667e-01 	147866.43830 	4.61854
0.915 	0.0 	0.9029371283 	0.0658297973 	7078.01174 	2.29346e-01 	5.85047e-01 	148820.40048 	4.76350
0.910 	0.0 	0.9048940246 	0.0659724710 	7106.10967 	2.35605e-01 	5.82413e-01 	149803.58589 	4.90455
