
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1501632332
DEBUG: Central density computed: - e_center=3.712726e-06
DEBUG: Central pressure computed: - p_center=3.136905e-09
1.000 	0.0 	1.4025903178 	0.1023897803 	1737.49873 	0.00000e+00 	5.95522e+00 	0.00000 	0.00000
0.995 	0.0 	1.4042409975 	0.1025102797 	1744.09086 	5.74489e-01 	5.92584e+00 	9211.40762 	0.30536
0.990 	0.0 	1.4059075606 	0.1026319439 	1750.77756 	8.10356e-01 	5.89632e+00 	9251.94245 	0.43160
0.985 	0.0 	1.4075691161 	0.1027532422 	1757.55296 	9.89890e-01 	5.86661e+00 	9292.59501 	0.52829
0.980 	0.0 	1.4092256022 	0.1028741702 	1764.41902 	1.14001e+00 	5.83671e+00 	9333.36173 	0.60964
0.975 	0.0 	1.4108746955 	0.1029945582 	1771.37436 	1.27109e+00 	5.80663e+00 	9374.21700 	0.68112
0.970 	0.0 	1.4125204641 	0.1031147033 	1778.43074 	1.38869e+00 	5.77633e+00 	9415.19515 	0.74565
0.965 	0.0 	1.4141636889 	0.1032346625 	1785.58541 	1.49592e+00 	5.74582e+00 	9456.28451 	0.80485
0.960 	0.0 	1.4158022920 	0.1033542838 	1792.83699 	1.59480e+00 	5.71513e+00 	9497.48475 	0.85980
0.955 	0.0 	1.4174352757 	0.1034734943 	1800.18803 	1.68679e+00 	5.68424e+00 	9538.80445 	0.91125
0.950 	0.0 	1.4190609958 	0.1035921742 	1807.63990 	1.77293e+00 	5.65315e+00 	9580.21346 	0.95974
0.945 	0.0 	1.4206762297 	0.1037100881 	1815.19317 	1.85400e+00 	5.62187e+00 	9621.62734 	1.00567
0.940 	0.0 	1.4222849151 	0.1038275237 	1822.85504 	1.93070e+00 	5.59038e+00 	9663.13935 	1.04941
0.935 	0.0 	1.4238846432 	0.1039443050 	1830.62474 	2.00347e+00 	5.55869e+00 	9704.67662 	1.09119
0.930 	0.0 	1.4254765863 	0.1040605177 	1838.50421 	2.07272e+00 	5.52680e+00 	9746.29091 	1.13122
0.925 	0.0 	1.4270566231 	0.1041758609 	1846.49518 	2.13876e+00 	5.49472e+00 	9787.84586 	1.16965
0.920 	0.0 	1.4286264604 	0.1042904592 	1854.59986 	2.20189e+00 	5.46243e+00 	9829.41534 	1.20663
0.915 	0.0 	1.4301836851 	0.1044041366 	1862.81765 	2.26229e+00 	5.42995e+00 	9870.96522 	1.24226
0.910 	0.0 	1.4317304084 	0.1045170472 	1871.16209 	2.32027e+00 	5.39724e+00 	9912.44252 	1.27669
0.905 	0.0 	1.4332664481 	0.1046291777 	1879.62743 	2.37594e+00 	5.36434e+00 	9953.89229 	1.30997
