
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1820589364
DEBUG: Central density computed: - e_center=5.059472e-07
DEBUG: Central pressure computed: - p_center=2.163580e-10
1.000 	0.0 	1.3239286912 	0.0965770148 	2935.13593 	0.00000e+00 	2.63518e+00 	0.00000 	0.00000
0.995 	0.0 	1.3258822717 	0.0967195283 	2945.83714 	2.50535e-01 	2.62334e+00 	29605.06380 	0.48008
0.990 	0.0 	1.3278471603 	0.0968628684 	2956.66992 	3.53484e-01 	2.61146e+00 	29757.27725 	0.67882
0.985 	0.0 	1.3298098916 	0.0970060507 	2967.64422 	4.31933e-01 	2.59948e+00 	29910.24142 	0.83127
0.980 	0.0 	1.3317412628 	0.0971469442 	2978.72039 	4.97283e-01 	2.58746e+00 	30063.04337 	0.95915
0.975 	0.0 	1.3336907639 	0.0972891601 	2990.01157 	5.54840e-01 	2.57528e+00 	30216.83949 	1.07249
0.970 	0.0 	1.3356551458 	0.0974324622 	3001.45384 	6.06522e-01 	2.56301e+00 	30371.78371 	1.17494
0.965 	0.0 	1.3376225635 	0.0975759857 	3013.05463 	6.53700e-01 	2.55065e+00 	30527.72408 	1.26909
0.960 	0.0 	1.3395891072 	0.0977194453 	3024.80700 	6.97239e-01 	2.53820e+00 	30684.55304 	1.35658
0.955 	0.0 	1.3415532417 	0.0978627288 	3036.71422 	7.37774e-01 	2.52566e+00 	30842.27250 	1.43860
0.950 	0.0 	1.3435081069 	0.0980053358 	3048.76682 	7.75717e-01 	2.51306e+00 	31000.70582 	1.51594
0.945 	0.0 	1.3454611998 	0.0981478132 	3061.00529 	8.11547e-01 	2.50033e+00 	31159.91068 	1.58948
0.940 	0.0 	1.3474123242 	0.0982901470 	3073.41998 	8.45492e-01 	2.48751e+00 	31319.73387 	1.65964
0.935 	0.0 	1.3493593760 	0.0984321836 	3086.00899 	8.77745e-01 	2.47458e+00 	31480.39491 	1.72679
0.930 	0.0 	1.3512990666 	0.0985736830 	3098.77299 	9.08476e-01 	2.46156e+00 	31641.19318 	1.79123
0.925 	0.0 	1.3532346491 	0.0987148827 	3111.71295 	9.37818e-01 	2.44845e+00 	31803.12543 	1.85323
0.920 	0.0 	1.3551511654 	0.0988546911 	3124.81027 	9.65838e-01 	2.43527e+00 	31964.73510 	1.91288
0.915 	0.0 	1.3570690035 	0.0989945958 	3138.13423 	9.92788e-01 	2.42194e+00 	32127.62125 	1.97069
0.910 	0.0 	1.3589771501 	0.0991337932 	3151.65848 	1.01869e+00 	2.40851e+00 	32289.81027 	2.02661
0.905 	0.0 	1.3608806313 	0.0992726503 	3165.38504 	1.04361e+00 	2.39497e+00 	32452.70283 	2.08083
