
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1764140380
DEBUG: Central density computed: - e_center=3.416807e-08
DEBUG: Central pressure computed: - p_center=5.413364e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	1.0284542890 	0.0749873328 	5490.40900 	0.00000e+00 	9.07831e-01 	0.00000 	0.00000
0.995 	0.0 	1.0305817213 	0.0751424568 	5509.30677 	8.43051e-02 	9.04399e-01 	101270.93614 	0.91466
0.990 	0.0 	1.0327033629 	0.0752971586 	5528.36670 	1.18964e-01 	9.00954e-01 	101917.26171 	1.29359
0.985 	0.0 	1.0348214039 	0.0754515977 	5547.65817 	1.45397e-01 	8.97480e-01 	102567.62658 	1.58461
0.980 	0.0 	1.0369357688 	0.0756057685 	5567.18578 	1.67541e-01 	8.93975e-01 	103222.00095 	1.83011
0.975 	0.0 	1.0390463252 	0.0757596614 	5586.95414 	1.86926e-01 	8.90440e-01 	103880.33657 	2.04654
0.970 	0.0 	1.0410770785 	0.0759077345 	5606.69106 	2.04034e-01 	8.86914e-01 	104532.45294 	2.23911
0.965 	0.0 	1.0431296470 	0.0760573979 	5626.92400 	2.19879e-01 	8.83315e-01 	105192.74003 	2.41869
0.960 	0.0 	1.0452084734 	0.0762089761 	5647.51793 	2.34631e-01 	8.79665e-01 	105858.88793 	2.58699
0.955 	0.0 	1.0472886788 	0.0763606548 	5668.36350 	2.48389e-01 	8.75987e-01 	106526.71976 	2.74502
0.950 	0.0 	1.0493799927 	0.0765131435 	5689.50232 	2.61333e-01 	8.72276e-01 	107199.82926 	2.89474
0.945 	0.0 	1.0514796648 	0.0766662417 	5710.92631 	2.73567e-01 	8.68530e-01 	107878.92237 	3.03729
0.940 	0.0 	1.0534991216 	0.0768134903 	5732.16909 	2.84885e-01 	8.64825e-01 	108549.65156 	3.17043
0.935 	0.0 	1.0555388847 	0.0769622193 	5754.05878 	2.95842e-01 	8.61019e-01 	109233.22514 	3.30030
0.930 	0.0 	1.0575759219 	0.0771107493 	5776.29282 	3.06326e-01 	8.57172e-01 	109917.93716 	3.42544
0.925 	0.0 	1.0596772991 	0.0772639714 	5799.01151 	3.16472e-01 	8.53268e-01 	110614.57178 	3.54721
0.920 	0.0 	1.0617571207 	0.0774156214 	5822.03026 	3.26199e-01 	8.49324e-01 	111309.73476 	3.66482
0.915 	0.0 	1.0638603336 	0.0775689772 	5845.32726 	3.35549e-01 	8.45358e-01 	112013.26628 	3.77871
0.910 	0.0 	1.0659119531 	0.0777185705 	5868.72604 	3.44443e-01 	8.41388e-01 	112708.36305 	3.88793
