
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 933062132
DEBUG: Central density computed: - e_center=1.126480e-08
DEBUG: Central pressure computed: - p_center=1.119108e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.8358979020 	0.0609412344 	6921.40914 	0.00000e+00 	5.78235e-01 	0.00000 	0.00000
0.995 	0.0 	0.8377988774 	0.0610798302 	6944.76195 	5.30934e-02 	5.76196e-01 	140890.86626 	1.21264
0.990 	0.0 	0.8394444338 	0.0611998023 	6967.30606 	7.37924e-02 	5.74212e-01 	141791.74025 	1.68953
0.985 	0.0 	0.8410634421 	0.0613178375 	6991.18662 	9.03286e-02 	5.72099e-01 	142672.38081 	2.07298
0.980 	0.0 	0.8428310453 	0.0614467075 	7015.61583 	1.04548e-01 	5.69955e-01 	143565.52488 	2.40422
0.975 	0.0 	0.8446501894 	0.0615793357 	7040.26034 	1.17003e-01 	5.67811e-01 	144472.40919 	2.69596
0.970 	0.0 	0.8465180341 	0.0617155150 	7065.16879 	1.28193e-01 	5.65662e-01 	145409.49725 	2.95986
0.965 	0.0 	0.8483991242 	0.0618526601 	7090.35107 	1.38406e-01 	5.63491e-01 	146360.71253 	3.20232
0.960 	0.0 	0.8502362728 	0.0619866014 	7115.31071 	1.47636e-01 	5.61343e-01 	147308.06882 	3.42316
0.955 	0.0 	0.8518332788 	0.0621030325 	7139.92619 	1.55864e-01 	5.59207e-01 	148212.59749 	3.62251
0.950 	0.0 	0.8535512510 	0.0622282834 	7165.74181 	1.63933e-01 	5.56992e-01 	149166.10245 	3.81914
0.945 	0.0 	0.8553517244 	0.0623595498 	7192.30851 	1.71740e-01 	5.54725e-01 	150135.57354 	4.01007
0.940 	0.0 	0.8571857738 	0.0624932643 	7219.26122 	1.79206e-01 	5.52432e-01 	151100.13490 	4.19328
0.935 	0.0 	0.8590081548 	0.0626261279 	7246.57292 	1.86298e-01 	5.50113e-01 	152067.59244 	4.36855
0.930 	0.0 	0.8608571903 	0.0627609351 	7274.08234 	1.93105e-01 	5.47758e-01 	153027.96038 	4.53722
0.925 	0.0 	0.8626011583 	0.0628880811 	7301.69287 	1.99490e-01 	5.45371e-01 	153978.96172 	4.69732
0.920 	0.0 	0.8644323750 	0.0630215886 	7330.05025 	2.05795e-01 	5.42888e-01 	154940.85271 	4.85540
0.915 	0.0 	0.8663477554 	0.0631612335 	7358.71748 	2.11746e-01 	5.40518e-01 	155998.40090 	5.00770
0.910 	0.0 	0.8682535906 	0.0633001822 	7387.87830 	2.17499e-01 	5.38111e-01 	157045.81588 	5.15559
