
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 264213396
DEBUG: Central density computed: - e_center=2.491889e-06
DEBUG: Central pressure computed: - p_center=1.839922e-09
1.000 	0.0 	1.3931651458 	0.1016828777 	1937.50688 	0.00000e+00 	5.04029e+00 	0.00000 	0.00000
0.995 	0.0 	1.3948878716 	0.1018086156 	1944.81465 	4.85078e-01 	5.01580e+00 	11764.49254 	0.33373
0.990 	0.0 	1.3966167358 	0.1019348047 	1952.21605 	6.84268e-01 	4.99122e+00 	11817.92619 	0.47174
0.985 	0.0 	1.3983410456 	0.1020606612 	1959.71550 	8.35916e-01 	4.96647e+00 	11871.53712 	0.57747
0.980 	0.0 	1.4000608118 	0.1021861861 	1967.31521 	9.62744e-01 	4.94156e+00 	11925.32216 	0.66646
0.975 	0.0 	1.4017709751 	0.1023110096 	1975.01172 	1.07347e+00 	4.91650e+00 	11979.22071 	0.74465
0.970 	0.0 	1.4034815301 	0.1024358618 	1982.82427 	1.17291e+00 	4.89124e+00 	12033.32092 	0.81531
0.965 	0.0 	1.4051918189 	0.1025606944 	1990.74422 	1.26358e+00 	4.86580e+00 	12087.63204 	0.88016
0.960 	0.0 	1.4068969859 	0.1026851529 	1998.77170 	1.34721e+00 	4.84021e+00 	12142.09495 	0.94035
0.955 	0.0 	1.4085966405 	0.1028092085 	2006.90935 	1.42502e+00 	4.81444e+00 	12196.72197 	0.99673
0.950 	0.0 	1.4102896705 	0.1029327802 	2015.15827 	1.49791e+00 	4.78850e+00 	12251.49570 	1.04989
0.945 	0.0 	1.4119738462 	0.1030557052 	2023.51826 	1.56652e+00 	4.76241e+00 	12306.38571 	1.10027
0.940 	0.0 	1.4136510140 	0.1031781184 	2031.99929 	1.63144e+00 	4.73613e+00 	12361.37915 	1.14826
0.935 	0.0 	1.4153206316 	0.1032999803 	2040.60082 	1.69306e+00 	4.70967e+00 	12416.44816 	1.19412
0.930 	0.0 	1.4169822462 	0.1034212577 	2049.32352 	1.75172e+00 	4.68305e+00 	12471.61906 	1.23807
0.925 	0.0 	1.4186328755 	0.1035417328 	2058.16955 	1.80767e+00 	4.65625e+00 	12526.76565 	1.28028
0.920 	0.0 	1.4202744823 	0.1036615491 	2067.14116 	1.86116e+00 	4.62928e+00 	12582.02372 	1.32092
0.915 	0.0 	1.4219021769 	0.1037803496 	2076.23801 	1.91236e+00 	4.60214e+00 	12637.19409 	1.36010
0.910 	0.0 	1.4235212868 	0.1038985233 	2085.47539 	1.96152e+00 	4.57480e+00 	12692.42866 	1.39797
0.905 	0.0 	1.4251287537 	0.1040158469 	2094.84854 	2.00874e+00 	4.54729e+00 	12747.50935 	1.43459
