
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1219739476
DEBUG: Central density computed: - e_center=1.652380e-09
DEBUG: Central pressure computed: - p_center=6.390168e-14
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.4724947216 	0.0344436618 	10046.98649 	0.00000e+00 	2.48579e-01 	0.00000 	0.00000
0.995 	0.0 	0.4739355232 	0.0345486956 	10079.86842 	2.31143e-02 	2.47823e-01 	175742.90093 	2.05782
0.990 	0.0 	0.4753762553 	0.0346537244 	10113.04473 	3.26274e-02 	2.47062e-01 	177157.74082 	2.91041
0.985 	0.0 	0.4768171599 	0.0347587656 	10146.63349 	3.98893e-02 	2.46293e-01 	178586.64001 	3.56524
0.980 	0.0 	0.4782578892 	0.0348637941 	10180.64031 	4.59781e-02 	2.45515e-01 	180029.51888 	4.11773
0.975 	0.0 	0.4791557518 	0.0349292469 	10209.40103 	5.00933e-02 	2.44825e-01 	181244.61952 	4.49965
0.970 	0.0 	0.4795311944 	0.0349566137 	10240.66656 	5.35382e-02 	2.44006e-01 	182359.24648 	4.83109
0.965 	0.0 	0.4803151228 	0.0350137594 	10276.94316 	5.76579e-02 	2.43086e-01 	183517.19674 	5.21879
0.960 	0.0 	0.4813296740 	0.0350877181 	10314.50216 	6.17872e-02 	2.42160e-01 	184697.43371 	5.60481
0.955 	0.0 	0.4824560943 	0.0351698321 	10352.78073 	6.57593e-02 	2.41225e-01 	185892.82129 	5.97574
0.950 	0.0 	0.4836000000 	0.0352532208 	10391.70922 	6.95306e-02 	2.40272e-01 	187048.13464 	6.32768
0.945 	0.0 	0.4847679278 	0.0353383609 	10430.07167 	7.30305e-02 	2.39344e-01 	188213.43797 	6.65540
0.940 	0.0 	0.4856915051 	0.0354056876 	10466.24332 	7.59733e-02 	2.38455e-01 	189335.92693 	6.93842
0.935 	0.0 	0.4867100282 	0.0354799356 	10505.87790 	7.90832e-02 	2.37473e-01 	190431.51083 	7.23385
0.930 	0.0 	0.4878751280 	0.0355648694 	10546.30217 	8.21501e-02 	2.36489e-01 	191625.21831 	7.52542
0.925 	0.0 	0.4889509714 	0.0356432961 	10587.96609 	8.51246e-02 	2.35447e-01 	192676.45871 	7.80622
0.920 	0.0 	0.4902052379 	0.0357347304 	10629.29944 	8.79689e-02 	2.34457e-01 	193937.61549 	8.07835
0.915 	0.0 	0.4914403373 	0.0358247673 	10671.62475 	9.07641e-02 	2.33425e-01 	195100.84773 	8.34293
0.910 	0.0 	0.4921044422 	0.0358731777 	10708.99056 	9.29487e-02 	2.32434e-01 	195890.42319 	8.55518
