
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 578144292
DEBUG: Central density computed: - e_center=1.601056e-09
DEBUG: Central pressure computed: - p_center=6.086865e-14
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.4672398323 	0.0340605574 	10105.89326 	0.00000e+00 	2.45035e-01 	0.00000 	0.00000
0.995 	0.0 	0.4686662676 	0.0341645437 	10138.95962 	2.27824e-02 	2.44290e-01 	175978.17921 	2.07691
0.990 	0.0 	0.4700926329 	0.0342685249 	10172.32179 	3.21588e-02 	2.43542e-01 	177395.78779 	2.93740
0.985 	0.0 	0.4715191679 	0.0343725185 	10206.09853 	3.93165e-02 	2.42784e-01 	178827.48848 	3.59830
0.980 	0.0 	0.4729455253 	0.0344764991 	10240.29551 	4.53178e-02 	2.42018e-01 	180273.20119 	4.15590
0.975 	0.0 	0.4731856136 	0.0344939990 	10266.17518 	4.82867e-02 	2.41347e-01 	181282.05136 	4.44843
0.970 	0.0 	0.4737071380 	0.0345320151 	10301.05647 	5.23103e-02 	2.40456e-01 	182387.37438 	4.83782
0.965 	0.0 	0.4745306940 	0.0345920497 	10338.59137 	5.66014e-02 	2.39523e-01 	183472.05779 	5.24754
0.960 	0.0 	0.4755660623 	0.0346675257 	10376.98436 	6.08035e-02 	2.38589e-01 	184596.74788 	5.64700
0.955 	0.0 	0.4766953435 	0.0347498483 	10415.73526 	6.47867e-02 	2.37657e-01 	185737.34509 	6.02547
0.950 	0.0 	0.4778375327 	0.0348331117 	10455.10445 	6.85631e-02 	2.36710e-01 	186838.56705 	6.38387
0.945 	0.0 	0.4787908501 	0.0349026064 	10491.75557 	7.17520e-02 	2.35819e-01 	187874.26097 	6.69109
0.940 	0.0 	0.4798245606 	0.0349779617 	10529.99398 	7.48924e-02 	2.34898e-01 	189025.37741 	6.99649
0.935 	0.0 	0.4808068862 	0.0350495708 	10570.24322 	7.79959e-02 	2.33903e-01 	190065.60760 	7.29661
0.930 	0.0 	0.4819689050 	0.0351342799 	10611.06106 	8.10591e-02 	2.32921e-01 	191219.96591 	7.59249
0.925 	0.0 	0.4830405537 	0.0352124007 	10653.09152 	8.40331e-02 	2.31880e-01 	192221.84327 	7.87722
0.920 	0.0 	0.4842660658 	0.0353017385 	10695.16274 	8.69179e-02 	2.30863e-01 	193364.09170 	8.15463
0.915 	0.0 	0.4852437881 	0.0353730118 	10737.49220 	8.96659e-02 	2.29746e-01 	194172.85672 	8.41363
0.910 	0.0 	0.4852488783 	0.0353733773 	10779.43924 	9.23063e-02 	2.28108e-01 	193738.40937 	8.64182
