
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1058620364
DEBUG: Central density computed: - e_center=4.791382e-06
DEBUG: Central pressure computed: - p_center=4.411781e-09
1.000 	0.0 	1.4073645899 	0.1027518505 	1618.87563 	0.00000e+00 	6.63288e+00 	0.00000 	0.00000
0.995 	0.0 	1.4089787900 	0.1028697020 	1625.04599 	6.40744e-01 	6.59983e+00 	7859.59273 	0.28864
0.990 	0.0 	1.4106062408 	0.1029885265 	1631.30399 	9.03787e-01 	6.56664e+00 	7893.48963 	0.40795
0.985 	0.0 	1.4122284206 	0.1031069658 	1637.64508 	1.10398e+00 	6.53323e+00 	7927.47652 	0.49931
0.980 	0.0 	1.4138452004 	0.1032250105 	1644.07107 	1.27135e+00 	6.49962e+00 	7961.54935 	0.57617
0.975 	0.0 	1.4154544678 	0.1033425060 	1650.58092 	1.41749e+00 	6.46581e+00 	7995.68771 	0.64368
0.970 	0.0 	1.4170598088 	0.1034597144 	1657.18471 	1.54857e+00 	6.43175e+00 	8029.91589 	0.70461
0.965 	0.0 	1.4186629258 	0.1035767601 	1663.88035 	1.66807e+00 	6.39747e+00 	8064.24319 	0.76051
0.960 	0.0 	1.4202599530 	0.1036933610 	1670.66658 	1.77824e+00 	6.36298e+00 	8098.63873 	0.81237
0.955 	0.0 	1.4218503536 	0.1038094778 	1677.54593 	1.88071e+00 	6.32827e+00 	8133.10444 	0.86091
0.950 	0.0 	1.4234332409 	0.1039250457 	1684.51988 	1.97667e+00 	6.29335e+00 	8167.63007 	0.90666
0.945 	0.0 	1.4250077193 	0.1040399994 	1691.58953 	2.06698e+00 	6.25821e+00 	8202.20190 	0.94999
0.940 	0.0 	1.4265728692 	0.1041542717 	1698.75884 	2.15238e+00 	6.22285e+00 	8236.80073 	0.99123
0.935 	0.0 	1.4281294604 	0.1042679187 	1706.02987 	2.23340e+00 	6.18727e+00 	8271.41522 	1.03062
0.930 	0.0 	1.4296767594 	0.1043808869 	1713.40375 	2.31049e+00 	6.15147e+00 	8306.03574 	1.06834
0.925 	0.0 	1.4312138327 	0.1044931083 	1720.88168 	2.38401e+00 	6.11545e+00 	8340.66098 	1.10455
0.920 	0.0 	1.4327389405 	0.1046044555 	1728.46616 	2.45426e+00 	6.07921e+00 	8375.23419 	1.13938
0.915 	0.0 	1.4342520951 	0.1047149294 	1736.15658 	2.52148e+00 	6.04276e+00 	8409.80301 	1.17294
0.910 	0.0 	1.4357551336 	0.1048246644 	1743.96452 	2.58598e+00 	6.00606e+00 	8444.32899 	1.20536
0.905 	0.0 	1.4372465841 	0.1049335529 	1751.88552 	2.64788e+00 	5.96914e+00 	8478.80488 	1.23668
