
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1194397420
DEBUG: Central density computed: - e_center=1.197634e-07
DEBUG: Central pressure computed: - p_center=3.064393e-11
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	1.1992991416 	0.0874591521 	4150.51747 	0.00000e+00 	1.49152e+00 	0.00000 	0.00000
0.995 	0.0 	1.2013908738 	0.0876116986 	4165.18968 	1.39718e-01 	1.48538e+00 	61111.05860 	0.67312
0.990 	0.0 	1.2033755384 	0.0877564352 	4179.77235 	1.96259e-01 	1.47928e+00 	61452.17880 	0.94766
0.985 	0.0 	1.2053565115 	0.0879009014 	4194.79384 	2.40130e-01 	1.47303e+00 	61790.58440 	1.16205
0.980 	0.0 	1.2074276257 	0.0880519432 	4210.06774 	2.77191e-01 	1.46671e+00 	62135.83693 	1.34427
0.975 	0.0 	1.2095162878 	0.0882042651 	4225.51080 	3.09574e-01 	1.46036e+00 	62484.33287 	1.50452
0.970 	0.0 	1.2116197511 	0.0883576667 	4241.14938 	3.38636e-01 	1.45397e+00 	62837.57692 	1.64933
0.965 	0.0 	1.2137363597 	0.0885120273 	4256.98879 	3.65165e-01 	1.44754e+00 	63196.49182 	1.78246
0.960 	0.0 	1.2158367487 	0.0886652046 	4273.00594 	3.89623e-01 	1.44105e+00 	63554.34160 	1.90602
0.955 	0.0 	1.2179196974 	0.0888171096 	4289.19603 	4.12328e-01 	1.43452e+00 	63916.74467 	2.02166
0.950 	0.0 	1.2200289387 	0.0889709324 	4305.67358 	4.33766e-01 	1.42792e+00 	64282.47330 	2.13155
0.945 	0.0 	1.2221492596 	0.0891255633 	4322.37624 	4.53988e-01 	1.42126e+00 	64654.49348 	2.23605
0.940 	0.0 	1.2242556925 	0.0892791810 	4339.30617 	4.73160e-01 	1.41455e+00 	65023.45867 	2.33572
0.935 	0.0 	1.2263610907 	0.0894327231 	4356.46468 	4.91383e-01 	1.40779e+00 	65395.74056 	2.43120
0.930 	0.0 	1.2284653763 	0.0895861842 	4373.79061 	5.08695e-01 	1.40100e+00 	65771.84840 	2.52266
0.925 	0.0 	1.2305225394 	0.0897362074 	4391.36372 	5.25231e-01 	1.39415e+00 	66143.62657 	2.61064
0.920 	0.0 	1.2326155582 	0.0898888462 	4409.27095 	5.41185e-01 	1.38721e+00 	66521.18615 	2.69611
0.915 	0.0 	1.2347175166 	0.0900421369 	4427.44366 	5.56509e-01 	1.38021e+00 	66904.28522 	2.77894
0.910 	0.0 	1.2368126529 	0.0901949300 	4445.90933 	5.71283e-01 	1.37313e+00 	67285.16449 	2.85924
