
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 310304548
DEBUG: Central density computed: - e_center=8.961380e-09
DEBUG: Central pressure computed: - p_center=8.033479e-13
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.7930648357 	0.0578175131 	7247.48182 	0.00000e+00 	5.25646e-01 	0.00000 	0.00000
0.995 	0.0 	0.7942396924 	0.0579031627 	7270.74394 	4.54994e-02 	5.23819e-01 	148303.26770 	1.21714
0.990 	0.0 	0.7957035343 	0.0580098818 	7296.21070 	6.64359e-02 	5.21831e-01 	149055.92230 	1.77966
0.985 	0.0 	0.7974331655 	0.0581359813 	7321.52089 	8.22220e-02 	5.19893e-01 	149941.69142 	2.20602
0.980 	0.0 	0.7991946196 	0.0582644011 	7347.01430 	9.53618e-02 	5.17971e-01 	150850.31225 	2.56273
0.975 	0.0 	0.8009468350 	0.0583921469 	7372.80799 	1.07005e-01 	5.15918e-01 	151736.82737 	2.87988
0.970 	0.0 	0.8027734215 	0.0585253158 	7398.64231 	1.17228e-01 	5.13890e-01 	152721.84184 	3.16108
0.965 	0.0 	0.8045957028 	0.0586581715 	7424.14585 	1.26148e-01 	5.12019e-01 	153769.74366 	3.40945
0.960 	0.0 	0.8060638323 	0.0587652048 	7448.88278 	1.33789e-01 	5.10174e-01 	154761.66727 	3.62604
0.955 	0.0 	0.8077516685 	0.0588882569 	7475.55269 	1.41562e-01 	5.08208e-01 	155806.11671 	3.84648
0.950 	0.0 	0.8094784792 	0.0590141505 	7502.85159 	1.48981e-01 	5.06197e-01 	156851.48837 	4.05786
0.945 	0.0 	0.8112945966 	0.0591465559 	7530.50424 	1.56064e-01 	5.04182e-01 	157918.33017 	4.26054
0.940 	0.0 	0.8130870350 	0.0592772346 	7558.64625 	1.62798e-01 	5.02135e-01 	158974.27424 	4.45440
0.935 	0.0 	0.8148953863 	0.0594090736 	7586.91200 	1.69178e-01 	5.00086e-01 	160038.01028 	4.63929
0.930 	0.0 	0.8166353914 	0.0595359294 	7615.10254 	1.75136e-01 	4.98045e-01 	161105.55636 	4.81411
0.925 	0.0 	0.8184350150 	0.0596671320 	7644.14120 	1.80970e-01 	4.95951e-01 	162191.57121 	4.98602
0.920 	0.0 	0.8202682553 	0.0598007855 	7673.70241 	1.86616e-01 	4.93833e-01 	163286.79671 	5.15318
0.915 	0.0 	0.8221071900 	0.0599348543 	7703.71399 	1.92058e-01 	4.91691e-01 	164386.12130 	5.31529
0.910 	0.0 	0.8239451941 	0.0600688551 	7734.09417 	1.97282e-01 	4.89532e-01 	165503.39960 	5.47250
