
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1105432308
DEBUG: Central density computed: - e_center=3.343095e-09
DEBUG: Central pressure computed: - p_center=1.868481e-13
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.6051390545 	0.0441144274 	8786.52881 	0.00000e+00 	3.43971e-01 	0.00000 	0.00000
0.995 	0.0 	0.6018349120 	0.0438735175 	8822.81769 	3.16898e-02 	3.41035e-01 	169310.43649 	1.68552
0.990 	0.0 	0.6035248198 	0.0439967156 	8852.17316 	4.47300e-02 	3.39936e-01 	170614.94468 	2.38404
0.985 	0.0 	0.6052141734 	0.0441198732 	8881.89000 	5.46787e-02 	3.38825e-01 	171931.58855 	2.92040
0.980 	0.0 	0.6069017748 	0.0442429030 	8911.96840 	6.30175e-02 	3.37702e-01 	173259.69891 	3.37294
0.975 	0.0 	0.6085871797 	0.0443657725 	8942.41297 	7.03200e-02 	3.36567e-01 	174599.12577 	3.77192
0.970 	0.0 	0.6102699428 	0.0444884494 	8973.22838 	7.68809e-02 	3.35420e-01 	175949.70516 	4.13286
0.965 	0.0 	0.6116583843 	0.0445896688 	9002.23739 	8.22876e-02 	3.34322e-01 	177210.20415 	4.43499
0.960 	0.0 	0.6130985086 	0.0446946556 	9033.21321 	8.75898e-02 	3.33148e-01 	178516.31709 	4.73324
0.955 	0.0 	0.6146246739 	0.0448059153 	9065.31468 	9.27125e-02 	3.31938e-01 	179847.26462 	5.02238
0.950 	0.0 	0.6161619459 	0.0449179846 	9097.94280 	9.75677e-02 	3.30710e-01 	181171.73579 	5.29778
0.945 	0.0 	0.6177407051 	0.0450330785 	9131.10031 	1.02201e-01 	3.29470e-01 	182511.86301 	5.56189
0.940 	0.0 	0.6193538674 	0.0451506805 	9164.70275 	1.06623e-01 	3.28220e-01 	183873.96587 	5.81543
0.935 	0.0 	0.6206208296 	0.0452430429 	9195.64748 	1.10326e-01 	3.27045e-01 	185082.35271 	6.03220
0.930 	0.0 	0.6219497684 	0.0453399234 	9228.41440 	1.14027e-01 	3.25807e-01 	186387.55368 	6.25173
0.925 	0.0 	0.6232764491 	0.0454366390 	9262.41593 	1.17646e-01 	3.24524e-01 	187698.70523 	6.46794
0.920 	0.0 	0.6247858890 	0.0455466788 	9297.79724 	1.21330e-01 	3.23207e-01 	189062.23778 	6.68646
0.915 	0.0 	0.6262526900 	0.0456536099 	9333.87163 	1.24869e-01 	3.21860e-01 	190407.92076 	6.89807
0.910 	0.0 	0.6277924896 	0.0457658630 	9370.50891 	1.28330e-01 	3.20503e-01 	191774.24628 	7.10516
