
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1459139508
DEBUG: Central density computed: - e_center=1.131543e-09
DEBUG: Central pressure computed: - p_center=3.554024e-14
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.4047794425 	0.0295070074 	10803.04005 	0.00000e+00 	2.06352e-01 	0.00000 	0.00000
0.995 	0.0 	0.4061326418 	0.0296056537 	10837.70934 	1.94235e-02 	2.05764e-01 	169952.47633 	2.27722
0.990 	0.0 	0.4074886826 	0.0297045072 	10872.71767 	2.74272e-02 	2.05171e-01 	171385.82126 	3.22117
0.985 	0.0 	0.4088480250 	0.0298036013 	10908.19044 	3.35422e-02 	2.04570e-01 	172836.34328 	3.94630
0.980 	0.0 	0.4102103402 	0.0299029122 	10944.13439 	3.86737e-02 	2.03962e-01 	174304.05696 	4.55824
0.975 	0.0 	0.4113561161 	0.0299864374 	10977.90968 	4.26955e-02 	2.03378e-01 	175685.25549 	5.04392
0.970 	0.0 	0.4121362385 	0.0300433062 	11011.90436 	4.59749e-02 	2.02749e-01 	176977.51254 	5.45060
0.965 	0.0 	0.4131158585 	0.0301147181 	11049.75634 	4.94639e-02 	2.02057e-01 	178311.75988 	5.88046
0.960 	0.0 	0.4141551297 	0.0301904786 	11089.26595 	5.28519e-02 	2.01334e-01 	179605.73297 	6.29712
0.955 	0.0 	0.4153406825 	0.0302769031 	11129.11391 	5.61297e-02 	2.00624e-01 	180962.69700 	6.69977
0.950 	0.0 	0.4165384436 	0.0303642175 	11169.64263 	5.92358e-02 	1.99899e-01 	182303.97745 	7.08203
0.945 	0.0 	0.4177459017 	0.0304522389 	11210.83867 	6.21920e-02 	1.99162e-01 	183630.43417 	7.44632
0.940 	0.0 	0.4184154198 	0.0305010445 	11245.27750 	6.42575e-02 	1.98510e-01 	184716.62709 	7.71440
0.935 	0.0 	0.4190149323 	0.0305447464 	11282.92327 	6.63073e-02 	1.97785e-01 	185891.93860 	7.98822
0.930 	0.0 	0.4198171680 	0.0306032267 	11324.88287 	6.86179e-02 	1.96985e-01 	187081.27418 	8.28772
0.925 	0.0 	0.4208002608 	0.0306748915 	11368.12285 	7.09817e-02 	1.96181e-01 	188353.82036 	8.59124
0.920 	0.0 	0.4216562228 	0.0307372883 	11413.40125 	7.32977e-02 	1.95300e-01 	189421.17343 	8.88565
0.915 	0.0 	0.4226629582 	0.0308106765 	11459.23732 	7.56029e-02 	1.94425e-01 	190575.20363 	9.17707
0.910 	0.0 	0.4234883091 	0.0308708418 	11503.30841 	7.77045e-02 	1.93524e-01 	191514.37701 	9.44174
