
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 299082548
DEBUG: Central density computed: - e_center=1.796878e-06
DEBUG: Central pressure computed: - p_center=1.187428e-09
1.000 	0.0 	1.3834363908 	0.1009591527 	2115.46788 	0.00000e+00 	4.40240e+00 	0.00000 	0.00000
0.995 	0.0 	1.3851999057 	0.1010878506 	2123.38704 	4.22788e-01 	4.38133e+00 	14327.05092 	0.35920
0.990 	0.0 	1.3869799289 	0.1012177571 	2131.41602 	5.96421e-01 	4.36016e+00 	14393.82946 	0.50778
0.985 	0.0 	1.3887558191 	0.1013473616 	2139.55114 	7.28636e-01 	4.33884e+00 	14460.85168 	0.62164
0.980 	0.0 	1.3905276439 	0.1014766691 	2147.79489 	8.39232e-01 	4.31739e+00 	14528.11516 	0.71750
0.975 	0.0 	1.3922874929 	0.1016051021 	2156.14113 	9.35769e-01 	4.29580e+00 	14595.50239 	0.80171
0.970 	0.0 	1.3940627388 	0.1017346599 	2164.62934 	1.02253e+00 	4.27401e+00 	14663.44574 	0.87788
0.965 	0.0 	1.3958277908 	0.1018634726 	2173.22126 	1.10166e+00 	4.25209e+00 	14731.44371 	0.94780
0.960 	0.0 	1.3975883433 	0.1019919564 	2181.93062 	1.17466e+00 	4.23003e+00 	14799.66212 	1.01273
0.955 	0.0 	1.3993449816 	0.1021201542 	2190.75865 	1.24259e+00 	4.20781e+00 	14868.17020 	1.07355
0.950 	0.0 	1.4010934670 	0.1022477566 	2199.70747 	1.30623e+00 	4.18544e+00 	14936.79028 	1.13092
0.945 	0.0 	1.4028345352 	0.1023748171 	2208.77599 	1.36614e+00 	4.16294e+00 	15005.64724 	1.18529
0.940 	0.0 	1.4045691986 	0.1025014099 	2217.97652 	1.42285e+00 	4.14027e+00 	15074.66494 	1.23711
0.935 	0.0 	1.4062968703 	0.1026274923 	2227.30809 	1.47670e+00 	4.11744e+00 	15143.80587 	1.28665
0.930 	0.0 	1.4080173603 	0.1027530504 	2236.77075 	1.52795e+00 	4.09447e+00 	15213.17401 	1.33414
0.925 	0.0 	1.4097269843 	0.1028778152 	2246.36733 	1.57687e+00 	4.07134e+00 	15282.47585 	1.37977
0.920 	0.0 	1.4114273036 	0.1030019007 	2256.10053 	1.62364e+00 	4.04805e+00 	15351.89505 	1.42371
0.915 	0.0 	1.4131146213 	0.1031250371 	2265.96794 	1.66840e+00 	4.02462e+00 	15421.37261 	1.46608
0.910 	0.0 	1.4147943523 	0.1032476198 	2275.99124 	1.71141e+00 	4.00101e+00 	15490.83948 	1.50706
0.905 	0.0 	1.4164657369 	0.1033695932 	2286.16027 	1.75273e+00 	3.97724e+00 	15560.41488 	1.54672
