
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 1545817316
DEBUG: Central density computed: - e_center=5.259704e-06
DEBUG: Central pressure computed: - p_center=4.997494e-09
1.000 	0.0 	1.4088897129 	0.1028684463 	1577.24986 	0.00000e+00 	6.90092e+00 	0.00000 	0.00000
0.995 	0.0 	1.4104909922 	0.1029853600 	1583.27155 	6.66956e-01 	6.86642e+00 	7413.57094 	0.28279
0.990 	0.0 	1.4121042723 	0.1031031556 	1589.37830 	9.40750e-01 	6.83176e+00 	7445.31038 	0.39968
0.985 	0.0 	1.4137121883 	0.1032205592 	1595.56614 	1.14912e+00 	6.79689e+00 	7477.13084 	0.48918
0.980 	0.0 	1.4153146245 	0.1033375622 	1601.83683 	1.32331e+00 	6.76180e+00 	7509.02871 	0.56445
0.975 	0.0 	1.4169100266 	0.1034540510 	1608.18964 	1.47541e+00 	6.72651e+00 	7540.98755 	0.63059
0.970 	0.0 	1.4185007953 	0.1035702011 	1614.63352 	1.61181e+00 	6.69096e+00 	7573.02730 	0.69026
0.965 	0.0 	1.4200886595 	0.1036861390 	1621.16709 	1.73616e+00 	6.65518e+00 	7605.14790 	0.74500
0.960 	0.0 	1.4216707386 	0.1038016542 	1627.78911 	1.85080e+00 	6.61919e+00 	7637.33353 	0.79578
0.955 	0.0 	1.4232460506 	0.1039166750 	1634.50199 	1.95743e+00 	6.58297e+00 	7669.58061 	0.84330
0.950 	0.0 	1.4248137261 	0.1040311378 	1641.30718 	2.05726e+00 	6.54653e+00 	7701.87937 	0.88809
0.945 	0.0 	1.4263728998 	0.1041449794 	1648.20579 	2.15123e+00 	6.50986e+00 	7734.21700 	0.93052
0.940 	0.0 	1.4279226703 	0.1042581341 	1655.20160 	2.24006e+00 	6.47297e+00 	7766.57552 	0.97088
0.935 	0.0 	1.4294642326 	0.1043706893 	1662.29672 	2.32435e+00 	6.43584e+00 	7798.94903 	1.00944
0.930 	0.0 	1.4309954687 	0.1044824903 	1669.49193 	2.40454e+00 	6.39849e+00 	7831.31463 	1.04635
0.925 	0.0 	1.4325168540 	0.1045935718 	1676.78878 	2.48101e+00 	6.36091e+00 	7863.68499 	1.08179
0.920 	0.0 	1.4340264603 	0.1047037929 	1684.18959 	2.55408e+00 	6.32310e+00 	7896.00754 	1.11587
0.915 	0.0 	1.4355250141 	0.1048132067 	1691.69557 	2.62401e+00 	6.28507e+00 	7928.32602 	1.14872
0.910 	0.0 	1.4370107329 	0.1049216828 	1699.31248 	2.69107e+00 	6.24680e+00 	7960.57768 	1.18042
0.905 	0.0 	1.4384861491 	0.1050294063 	1707.04139 	2.75545e+00 	6.20829e+00 	7992.79061 	1.21106
