
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1230839772
DEBUG: Central density computed: - e_center=3.459346e-09
DEBUG: Central pressure computed: - p_center=1.967024e-13
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.6114832483 	0.0445769903 	8729.42701 	0.00000e+00 	3.49167e-01 	0.00000 	0.00000
0.995 	0.0 	0.6094883000 	0.0444315347 	8759.42020 	2.52224e-02 	3.47413e-01 	170696.17825 	1.31876
0.990 	0.0 	0.6098640736 	0.0444589173 	8794.66180 	4.54094e-02 	3.45073e-01 	169952.08005 	2.36099
0.985 	0.0 	0.6115653509 	0.0445829444 	8824.18051 	5.55151e-02 	3.43944e-01 	171260.53930 	2.89248
0.980 	0.0 	0.6132674965 	0.0447070348 	8854.07567 	6.39814e-02 	3.42802e-01 	172582.06555 	3.34069
0.975 	0.0 	0.6149674276 	0.0448309637 	8884.33494 	7.13956e-02 	3.41648e-01 	173914.83854 	3.73586
0.970 	0.0 	0.6166646970 	0.0449546984 	8914.96304 	7.80568e-02 	3.40482e-01 	175258.69769 	4.09335
0.965 	0.0 	0.6181993240 	0.0450665757 	8944.47646 	8.37771e-02 	3.39351e-01 	176548.88914 	4.40373
0.960 	0.0 	0.6196248070 	0.0451704954 	8974.77262 	8.90496e-02 	3.38176e-01 	177843.01630 	4.69352
0.955 	0.0 	0.6210899560 	0.0452773067 	9006.49192 	9.41567e-02 	3.36946e-01 	179149.34076 	4.97559
0.950 	0.0 	0.6226391156 	0.0453902429 	9038.89469 	9.90792e-02 	3.35699e-01 	180470.16803 	5.24810
0.945 	0.0 	0.6242583777 	0.0455082899 	9071.75762 	1.03787e-01 	3.34447e-01 	181822.02996 	5.50993
0.940 	0.0 	0.6258558730 	0.0456247499 	9105.19920 	1.08261e-01 	3.33170e-01 	183162.56230 	5.76035
0.935 	0.0 	0.6274242826 	0.0457390896 	9137.87088 	1.12382e-01 	3.31929e-01 	184499.74781 	5.99319
0.930 	0.0 	0.6285851231 	0.0458237150 	9168.81134 	1.15866e-01 	3.30721e-01 	185714.61416 	6.19672
0.925 	0.0 	0.6299831686 	0.0459256338 	9202.55132 	1.19571e-01 	3.29425e-01 	187040.14570 	6.41198
0.920 	0.0 	0.6313643786 	0.0460263249 	9237.40540 	1.23189e-01 	3.28084e-01 	188360.84271 	6.62352
0.915 	0.0 	0.6329048567 	0.0461386276 	9273.21491 	1.26811e-01 	3.26725e-01 	189725.74175 	6.83432
0.910 	0.0 	0.6344559402 	0.0462517036 	9309.58624 	1.30316e-01 	3.25348e-01 	191091.34631 	7.03921
