
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1394792332
DEBUG: Central density computed: - e_center=1.551327e-09
DEBUG: Central pressure computed: - p_center=5.797677e-14
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.4620153161 	0.0336796684 	10165.08251 	0.00000e+00 	2.41536e-01 	0.00000 	0.00000
0.995 	0.0 	0.4634272266 	0.0337825958 	10198.33213 	2.24547e-02 	2.40803e-01 	176198.07377 	2.09620
0.990 	0.0 	0.4648392461 	0.0338855310 	10231.88108 	3.16963e-02 	2.40066e-01 	177618.30802 	2.96468
0.985 	0.0 	0.4662514295 	0.0339884782 	10265.84679 	3.87510e-02 	2.39320e-01 	179052.66368 	3.63171
0.980 	0.0 	0.4671278182 	0.0340523656 	10294.67944 	4.32888e-02 	2.38655e-01 	180266.40442 	4.06917
0.975 	0.0 	0.4673450710 	0.0340682001 	10325.52511 	4.68688e-02 	2.37859e-01 	181313.20724 	4.42716
0.970 	0.0 	0.4679484383 	0.0341121825 	10362.51416 	5.12403e-02 	2.36932e-01 	182345.34287 	4.85509
0.965 	0.0 	0.4688089125 	0.0341749083 	10401.19551 	5.56701e-02 	2.35984e-01 	183359.42078 	5.28470
0.960 	0.0 	0.4698505865 	0.0342508440 	10440.11764 	5.99034e-02 	2.35050e-01 	184418.94912 	5.69410
0.955 	0.0 	0.4709798080 	0.0343331620 	10479.30607 	6.38932e-02 	2.34124e-01 	185506.20160 	6.07989
0.950 	0.0 	0.4721254045 	0.0344166738 	10519.19240 	6.76798e-02 	2.33177e-01 	186561.97706 	6.44547
0.945 	0.0 	0.4729588808 	0.0344774318 	10555.39268 	7.07237e-02 	2.32292e-01 	187519.20821 	6.74607
0.940 	0.0 	0.4739576571 	0.0345502402 	10594.23563 	7.38513e-02 	2.31362e-01 	188629.54186 	7.05628
0.935 	0.0 	0.4748837549 	0.0346177500 	10635.58071 	7.70176e-02 	2.30329e-01 	189514.02548 	7.36451
0.930 	0.0 	0.4759854286 	0.0346980596 	10677.29581 	8.01202e-02 	2.29309e-01 	190515.58540 	7.66607
0.925 	0.0 	0.4770040120 	0.0347723115 	10720.32573 	8.31682e-02 	2.28200e-01 	191354.64177 	7.95865
0.920 	0.0 	0.4775851578 	0.0348146721 	10768.13324 	8.67115e-02 	2.26457e-01 	191064.61774 	8.26499
0.915 	0.0 	0.4785131173 	0.0348823187 	10802.81390 	8.86688e-02 	2.25697e-01 	192401.30263 	8.47771
0.910 	0.0 	0.4796588290 	0.0349658395 	10842.16404 	9.08767e-02 	2.24844e-01 	193889.33639 	8.71423
