
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 704413620
DEBUG: Central density computed: - e_center=3.910168e-07
DEBUG: Central pressure computed: - p_center=1.528252e-10
1.000 	0.0 	1.3066649354 	0.0953115051 	3129.07389 	0.00000e+00 	2.37836e+00 	0.00000 	0.00000
0.995 	0.0 	1.3086400914 	0.0954555827 	3140.40148 	2.25580e-01 	2.36784e+00 	34005.27696 	0.50968
0.990 	0.0 	1.3106460802 	0.0956019119 	3151.89383 	3.18280e-01 	2.35727e+00 	34184.03080 	0.72069
0.985 	0.0 	1.3126400792 	0.0957473654 	3163.52119 	3.88932e-01 	2.34662e+00 	34363.15599 	0.88260
0.980 	0.0 	1.3145905979 	0.0958896461 	3175.24860 	4.47724e-01 	2.33592e+00 	34541.64849 	1.01826
0.975 	0.0 	1.3165720303 	0.0960341824 	3187.21510 	4.99605e-01 	2.32508e+00 	34721.50385 	1.13874
0.970 	0.0 	1.3185743873 	0.0961802456 	3199.34317 	5.46212e-01 	2.31416e+00 	34903.30037 	1.24769
0.965 	0.0 	1.3205768698 	0.0963263178 	3211.63629 	5.88748e-01 	2.30315e+00 	35086.05328 	1.34779
0.960 	0.0 	1.3225819666 	0.0964725808 	3224.08613 	6.28002e-01 	2.29207e+00 	35270.29502 	1.44083
0.955 	0.0 	1.3245792274 	0.0966182718 	3236.70210 	6.64552e-01 	2.28091e+00 	35454.88392 	1.52805
0.950 	0.0 	1.3265669092 	0.0967632637 	3249.46632 	6.98754e-01 	2.26968e+00 	35640.71232 	1.61027
0.945 	0.0 	1.3285594458 	0.0969086097 	3262.43433 	7.31086e-01 	2.25835e+00 	35827.63793 	1.68854
0.940 	0.0 	1.3305475478 	0.0970536320 	3275.58914 	7.61717e-01 	2.24692e+00 	36015.24701 	1.76322
0.935 	0.0 	1.3325319785 	0.0971983863 	3288.92754 	7.90830e-01 	2.23541e+00 	36203.51100 	1.83470
0.930 	0.0 	1.3345174360 	0.0973432155 	3302.44521 	8.18564e-01 	2.22381e+00 	36393.55047 	1.90334
0.925 	0.0 	1.3364920725 	0.0974872549 	3316.15444 	8.45059e-01 	2.21212e+00 	36583.56113 	1.96937
0.920 	0.0 	1.3384416807 	0.0976294680 	3330.02390 	8.70347e-01 	2.20037e+00 	36772.88416 	2.03286
0.915 	0.0 	1.3404033649 	0.0977725622 	3344.14236 	8.94700e-01 	2.18848e+00 	36964.56332 	2.09449
0.910 	0.0 	1.3423562930 	0.0979150174 	3358.46848 	9.18102e-01 	2.17651e+00 	37155.95712 	2.15412
0.905 	0.0 	1.3443013204 	0.0980568961 	3373.00896 	9.40611e-01 	2.16444e+00 	37348.35116 	2.21195
