
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = -1397519228
DEBUG: Central density computed: - e_center=2.106222e-08
DEBUG: Central pressure computed: - p_center=2.738812e-12
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
ERROR TOV: Too many iterations (100001), stopping integration
1.000 	0.0 	0.9484048272 	0.0691472654 	6084.49283 	0.00000e+00 	7.47274e-01 	0.00000 	0.00000
0.995 	0.0 	0.9504527538 	0.0692965840 	6105.23336 	6.90460e-02 	7.44537e-01 	118721.06213 	1.03251
0.990 	0.0 	0.9524945825 	0.0694454579 	6126.14316 	9.74326e-02 	7.41790e-01 	119498.79764 	1.46026
0.985 	0.0 	0.9545330735 	0.0695940884 	6147.30308 	1.19085e-01 	7.39018e-01 	120281.57073 	1.78880
0.980 	0.0 	0.9565681622 	0.0697424706 	6168.71799 	1.37227e-01 	7.36222e-01 	121069.34883 	2.06600
0.975 	0.0 	0.9584186828 	0.0698773938 	6189.85106 	1.52540e-01 	7.33452e-01 	121833.74885 	2.30212
0.970 	0.0 	0.9603975523 	0.0700216759 	6211.87022 	1.66851e-01 	7.30584e-01 	122621.59532 	2.52395
0.965 	0.0 	0.9623735120 	0.0701657457 	6234.17742 	1.79935e-01 	7.27690e-01 	123406.96481 	2.72807
0.960 	0.0 	0.9643811690 	0.0703121268 	6256.81649 	1.92089e-01 	7.24768e-01 	124202.06125 	2.91891
0.955 	0.0 	0.9664114127 	0.0704601550 	6279.72133 	2.03435e-01 	7.21823e-01 	125008.78906 	3.09834
0.950 	0.0 	0.9684270930 	0.0706071210 	6302.90564 	2.14076e-01 	7.18850e-01 	125813.86533 	3.26776
0.945 	0.0 	0.9703202371 	0.0707451520 	6325.61462 	2.23731e-01 	7.15945e-01 	126605.71376 	3.42324
0.940 	0.0 	0.9722166967 	0.0708834240 	6349.14452 	2.33084e-01 	7.12940e-01 	127412.06850 	3.57507
0.935 	0.0 	0.9741780431 	0.0710264273 	6373.32616 	2.42161e-01 	7.09871e-01 	128229.75844 	3.72310
0.930 	0.0 	0.9762045266 	0.0711741806 	6397.92602 	2.50913e-01 	7.06767e-01 	129060.41579 	3.86654
0.925 	0.0 	0.9782076859 	0.0713202329 	6422.81945 	2.59266e-01 	7.03633e-01 	129887.32565 	4.00439
0.920 	0.0 	0.9802558208 	0.0714695650 	6447.99478 	2.67282e-01 	7.00489e-01 	130735.90236 	4.13784
0.915 	0.0 	0.9822158355 	0.0716124712 	6473.19460 	2.74859e-01 	6.97343e-01 	131561.94387 	4.26495
0.910 	0.0 	0.9842283718 	0.0717592071 	6499.10974 	2.82276e-01 	6.94124e-01 	132410.00378 	4.39026
