
 Initial Omega  = 0.000000 
../eos/wd_eos_helmholtz.dat,  MDIVxSDIV=65x129
ratio	e_15	M	M_0	r_star	spin	Omega_K	I	J/M^2
	g/cm^3	sun	sun	km	s-1	s-1	g cm^2	

About to print EOS table. n_tab = 946432404
DEBUG: Central density computed: - e_center=5.805266e-06
DEBUG: Central pressure computed: - p_center=5.702127e-09
1.000 	0.0 	1.4103822154 	0.1029831519 	1534.19301 	0.00000e+00 	7.19727e+00 	0.00000 	0.00000
0.995 	0.0 	1.4119700856 	0.1030990932 	1540.06043 	6.95940e-01 	7.16115e+00 	6967.57836 	0.27675
0.990 	0.0 	1.4135685722 	0.1032158153 	1546.01017 	9.81622e-01 	7.12488e+00 	6997.17895 	0.39113
0.985 	0.0 	1.4151615626 	0.1033321358 	1552.03895 	1.19903e+00 	7.08839e+00 	7026.85172 	0.47870
0.980 	0.0 	1.4167489544 	0.1034480470 	1558.14848 	1.38077e+00 	7.05167e+00 	7056.59343 	0.55235
0.975 	0.0 	1.4183292498 	0.1035634395 	1564.33813 	1.53945e+00 	7.01474e+00 	7086.38899 	0.61705
0.970 	0.0 	1.4199047354 	0.1036784803 	1570.61630 	1.68175e+00 	6.97754e+00 	7116.25582 	0.67543
0.965 	0.0 	1.4214770772 	0.1037932912 	1576.98178 	1.81146e+00 	6.94011e+00 	7146.19411 	0.72897
0.960 	0.0 	1.4230435004 	0.1039076696 	1583.43345 	1.93103e+00 	6.90244e+00 	7176.18949 	0.77864
0.955 	0.0 	1.4246030300 	0.1040215442 	1589.97363 	2.04225e+00 	6.86455e+00 	7206.23841 	0.82512
0.950 	0.0 	1.4261552033 	0.1041348811 	1596.60366 	2.14637e+00 	6.82643e+00 	7236.34220 	0.86892
0.945 	0.0 	1.4276979872 	0.1042475319 	1603.32491 	2.24437e+00 	6.78807e+00 	7266.45727 	0.91040
0.940 	0.0 	1.4292318939 	0.1043595340 	1610.14085 	2.33702e+00 	6.74947e+00 	7296.59957 	0.94987
0.935 	0.0 	1.4307569850 	0.1044708921 	1617.05321 	2.42491e+00 	6.71064e+00 	7326.74808 	0.98756
0.930 	0.0 	1.4322723164 	0.1045815372 	1624.06311 	2.50853e+00 	6.67157e+00 	7356.90108 	1.02365
0.925 	0.0 	1.4337768719 	0.1046913950 	1631.17216 	2.58826e+00 	6.63226e+00 	7387.02455 	1.05828
0.920 	0.0 	1.4352708699 	0.1048004817 	1638.38220 	2.66444e+00 	6.59273e+00 	7417.14736 	1.09160
0.915 	0.0 	1.4367520195 	0.1049086299 	1645.69506 	2.73735e+00 	6.55295e+00 	7447.19527 	1.12369
0.910 	0.0 	1.4382324496 	0.1050167271 	1653.12469 	2.80724e+00 	6.51290e+00 	7477.33614 	1.15466
0.905 	0.0 	1.4396913328 	0.1051232493 	1660.65448 	2.87434e+00 	6.47263e+00 	7507.31276 	1.18460
